Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Weighted Output
124.0,-168089.90157722254,-187500.02235174447,-187500.02235174447,-164107.4465641316,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.003998153252168732
124.0,-168089.90157722254,-187500.02235174447,-187500.02235174447,-164107.4465641316,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.003998153252168732
124.0,-168089.90157722254,-187500.02235174447,-187500.02235174447,-164107.4465641316,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.003998153252168732
124.0,-168089.90157722254,-187500.02235174447,-187500.02235174447,-164107.4465641316,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.003998153252168732
244.0,-167942.91650568444,-187500.02235174447,-187500.02235174447,-163987.82002780677,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.004025854821675421
244.0,-167942.91650568444,-187500.02235174447,-187500.02235174447,-163987.82002780677,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.004025854821675421
244.0,-167942.91650568444,-187500.02235174447,-187500.02235174447,-163987.82002780677,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.004025854821675421
244.0,-167942.91650568444,-187500.02235174447,-187500.02235174447,-163987.82002780677,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.004025854821675421
244.0,-167942.91650568444,-187500.02235174447,-187500.02235174447,-163987.82002780677,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.004025854821675421
108.0,-167574.82797799446,-187500.02235174447,-187500.02235174447,-163819.1090606581,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.004104599641074835
108.0,-167574.82797799446,-187500.02235174447,-187500.02235174447,-163819.1090606581,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.004104599641074835
108.0,-167574.82797799446,-187500.02235174447,-187500.02235174447,-163819.1090606581,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.004104599641074835
108.0,-167574.82797799446,-187500.02235174447,-187500.02235174447,-163819.1090606581,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.004104599641074835
228.0,-167437.43180482768,-187500.02235174447,-187500.02235174447,-163680.66235550193,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.004130261473620243
228.0,-167437.43180482768,-187500.02235174447,-187500.02235174447,-163680.66235550193,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.004130261473620243
228.0,-167437.43180482768,-187500.02235174447,-187500.02235174447,-163680.66235550193,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.004130261473620243
228.0,-167437.43180482768,-187500.02235174447,-187500.02235174447,-163680.66235550193,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.004130261473620243
93.0,-36894.795226430324,-37100.118350996774,-45941.32851854903,-60907.83308837809,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.45161081677337395
93.0,-36894.795226430324,-37100.118350996774,-45941.32851854903,-60907.83308837809,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.45161081677337395
93.0,-36894.795226430324,-37100.118350996774,-45941.32851854903,-60907.83308837809,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.45161081677337395
93.0,-36894.795226430324,-37100.118350996774,-45941.32851854903,-60907.83308837809,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.45161081677337395
93.0,-36894.795226430324,-37100.118350996774,-45941.32851854903,-60907.83308837809,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.45161081677337395
213.0,-36114.09349609536,-36285.6654865343,-46099.355351848055,-61043.5081772218,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.45237883309138277
213.0,-36114.09349609536,-36285.6654865343,-46099.355351848055,-61043.5081772218,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.45237883309138277
213.0,-36114.09349609536,-36285.6654865343,-46099.355351848055,-61043.5081772218,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.45237883309138277
213.0,-36114.09349609536,-36285.6654865343,-46099.355351848055,-61043.5081772218,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.45237883309138277
77.0,-34443.90409516145,-34613.68794604397,-46328.237215070396,-61098.98520695987,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.45503432256263854
77.0,-34443.90409516145,-34613.68794604397,-46328.237215070396,-61098.98520695987,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.45503432256263854
77.0,-34443.90409516145,-34613.68794604397,-46328.237215070396,-61098.98520695987,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.45503432256263854
77.0,-34443.90409516145,-34613.68794604397,-46328.237215070396,-61098.98520695987,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.45503432256263854
77.0,-34443.90409516145,-34613.68794604397,-46328.237215070396,-61098.98520695987,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.45503432256263854
197.0,-35154.33194092893,-35263.74373003766,-46382.3954918856,-61242.617516829676,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.4536128039013065
197.0,-35154.33194092893,-35263.74373003766,-46382.3954918856,-61242.617516829676,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.4536128039013065
197.0,-35154.33194092893,-35263.74373003766,-46382.3954918856,-61242.617516829676,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.4536128039013065
197.0,-35154.33194092893,-35263.74373003766,-46382.3954918856,-61242.617516829676,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.4536128039013065
62.0,-167799.3959545369,-187500.02235174447,-187500.02235174447,-163497.6909753908,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.004059333846191498
62.0,-167799.3959545369,-187500.02235174447,-187500.02235174447,-163497.6909753908,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.004059333846191498
62.0,-167799.3959545369,-187500.02235174447,-187500.02235174447,-163497.6909753908,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.004059333846191498
62.0,-167799.3959545369,-187500.02235174447,-187500.02235174447,-163497.6909753908,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.004059333846191498
182.0,-167597.53735036103,-187500.02235174447,-187500.02235174447,-163347.19667997322,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.004098304966381477
182.0,-167597.53735036103,-187500.02235174447,-187500.02235174447,-163347.19667997322,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.004098304966381477
182.0,-167597.53735036103,-187500.02235174447,-187500.02235174447,-163347.19667997322,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.004098304966381477
182.0,-167597.53735036103,-187500.02235174447,-187500.02235174447,-163347.19667997322,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.004098304966381477
182.0,-167597.53735036103,-187500.02235174447,-187500.02235174447,-163347.19667997322,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.004098304966381477
46.0,-167223.86088655723,-187500.02235174447,-187500.02235174447,-163148.86965142126,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.004178279853362256
46.0,-167223.86088655723,-187500.02235174447,-187500.02235174447,-163148.86965142126,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.004178279853362256
46.0,-167223.86088655723,-187500.02235174447,-187500.02235174447,-163148.86965142126,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.004178279853362256
46.0,-167223.86088655723,-187500.02235174447,-187500.02235174447,-163148.86965142126,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.004178279853362256
166.0,-167035.5697912657,-187500.02235174447,-187500.02235174447,-162893.32215706375,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.004214384188475006
166.0,-167035.5697912657,-187500.02235174447,-187500.02235174447,-162893.32215706375,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.004214384188475006
166.0,-167035.5697912657,-187500.02235174447,-187500.02235174447,-162893.32215706375,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.004214384188475006
166.0,-167035.5697912657,-187500.02235174447,-187500.02235174447,-162893.32215706375,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.004214384188475006
174.0,-167013.21804681042,-187500.02235174447,-187500.02235174447,-162865.8518631282,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.004218807392339844
31.0,-29161.15870012745,-29314.22344615739,-46951.135629550896,-61892.896818267924,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.46267589946643484
31.0,-29161.15870012745,-29314.22344615739,-46951.135629550896,-61892.896818267924,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.46267589946643484
31.0,-29161.15870012745,-29314.22344615739,-46951.135629550896,-61892.896818267924,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.46267589946643484
31.0,-29161.15870012745,-29314.22344615739,-46951.135629550896,-61892.896818267924,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.46267589946643484
151.0,-30332.77008924128,-30575.644144492646,-47043.80596206259,-62307.70049186951,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.4602467485938192
151.0,-30332.77008924128,-30575.644144492646,-47043.80596206259,-62307.70049186951,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.4602467485938192
151.0,-30332.77008924128,-30575.644144492646,-47043.80596206259,-62307.70049186951,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.4602467485938192
151.0,-30332.77008924128,-30575.644144492646,-47043.80596206259,-62307.70049186951,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.4602467485938192
15.0,-33102.82177958748,-33307.96609019829,-46861.281616840555,-62352.58279473577,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.4564811882559332
15.0,-33102.82177958748,-33307.96609019829,-46861.281616840555,-62352.58279473577,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.4564811882559332
15.0,-33102.82177958748,-33307.96609019829,-46861.281616840555,-62352.58279473577,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.4564811882559332
