Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Weighted Output,State
121.0,-149538.6912868847,-148418.8241861849,-187500.02235174447,-187500.02235174447,-187500.02235174447,-141757.3114344253,-187500.02235174447,0.1222258718020051,R
242.0,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-158654.6043937927,-187500.02235174447,-187500.02235174447,0.0,R
242.0,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-158654.6043937927,-187500.02235174447,-187500.02235174447,0.0,R
242.0,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-158654.6043937927,-187500.02235174447,-187500.02235174447,0.0,R
242.0,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-158654.6043937927,-187500.02235174447,-187500.02235174447,0.0,R
242.0,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-158654.6043937927,-187500.02235174447,-187500.02235174447,0.0,R
106.0,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-158595.59578843068,-187500.02235174447,-187500.02235174447,0.0,R
106.0,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-158595.59578843068,-187500.02235174447,-187500.02235174447,0.0,R
106.0,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-158595.59578843068,-187500.02235174447,-187500.02235174447,0.0,R
106.0,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-158595.59578843068,-187500.02235174447,-187500.02235174447,0.0,R
226.0,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-158479.83610389664,-187500.02235174447,-187500.02235174447,0.0,R
226.0,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-158479.83610389664,-187500.02235174447,-187500.02235174447,0.0,R
226.0,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-158479.83610389664,-187500.02235174447,-187500.02235174447,0.0,R
226.0,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-158479.83610389664,-187500.02235174447,-187500.02235174447,0.0,R
226.0,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-158479.83610389664,-187500.02235174447,-187500.02235174447,0.0,R
90.0,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-158492.35308079162,-187500.02235174447,-187500.02235174447,0.0,R
90.0,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-158492.35308079162,-187500.02235174447,-187500.02235174447,0.0,R
90.0,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-158492.35308079162,-187500.02235174447,-187500.02235174447,0.0,R
90.0,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-158492.35308079162,-187500.02235174447,-187500.02235174447,0.0,R
211.0,-149634.42380838678,-148478.16806771376,-187500.02235174447,-187500.02235174447,-187500.02235174447,-141754.83039079077,-187500.02235174447,0.1220683430823879,R
211.0,-149634.42380838678,-148478.16806771376,-187500.02235174447,-187500.02235174447,-187500.02235174447,-141754.83039079077,-187500.02235174447,0.1220683430823879,R
211.0,-149634.42380838678,-148478.16806771376,-187500.02235174447,-187500.02235174447,-187500.02235174447,-141754.83039079077,-187500.02235174447,0.1220683430823879,R
211.0,-149634.42380838678,-148478.16806771376,-187500.02235174447,-187500.02235174447,-187500.02235174447,-141754.83039079077,-187500.02235174447,0.1220683430823879,R
75.0,-149249.75028631097,-148156.34765104624,-187500.02235174447,-187500.02235174447,-187500.02235174447,-141561.9571878859,-187500.02235174447,0.1229370117308729,R
75.0,-149249.75028631097,-148156.34765104624,-187500.02235174447,-187500.02235174447,-187500.02235174447,-141561.9571878859,-187500.02235174447,0.1229370117308729,R
75.0,-149249.75028631097,-148156.34765104624,-187500.02235174447,-187500.02235174447,-187500.02235174447,-141561.9571878859,-187500.02235174447,0.1229370117308729,R
75.0,-149249.75028631097,-148156.34765104624,-187500.02235174447,-187500.02235174447,-187500.02235174447,-141561.9571878859,-187500.02235174447,0.1229370117308729,R
75.0,-149249.75028631097,-148156.34765104624,-187500.02235174447,-187500.02235174447,-187500.02235174447,-141561.9571878859,-187500.02235174447,0.1229370117308729,R
195.0,-148845.65309830345,-147753.34569851705,-187500.02235174447,-187500.02235174447,-187500.02235174447,-141520.2041292434,-187500.02235174447,0.1235565421231248,R
195.0,-148845.65309830345,-147753.34569851705,-187500.02235174447,-187500.02235174447,-187500.02235174447,-141520.2041292434,-187500.02235174447,0.1235565421231248,R
