Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Weighted Output,State
40.0,-21999.54801792479,-187500.02235174447,-169720.03665209256,-159420.46456580932,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.0606696383880852,F
40.0,-21999.54801792479,-187500.02235174447,-169720.03665209256,-159420.46456580932,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.0606696383880852,F
40.0,-21999.54801792479,-187500.02235174447,-169720.03665209256,-159420.46456580932,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.0606696383880852,F
40.0,-21999.54801792479,-187500.02235174447,-169720.03665209256,-159420.46456580932,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.0606696383880852,F
160.0,-21983.834741572708,-187500.02235174447,-169543.1672982177,-159235.57093567503,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.0608981607764695,F
160.0,-21983.834741572708,-187500.02235174447,-169543.1672982177,-159235.57093567503,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.0608981607764695,F
160.0,-21983.834741572708,-187500.02235174447,-169543.1672982177,-159235.57093567503,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.0608981607764695,F
160.0,-21983.834741572708,-187500.02235174447,-169543.1672982177,-159235.57093567503,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.0608981607764695,F
24.0,-21962.95821225145,-187500.02235174447,-169331.00453984793,-159014.9368661567,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.0612636368438731,F
24.0,-21962.95821225145,-187500.02235174447,-169331.00453984793,-159014.9368661567,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.0612636368438731,F
24.0,-21962.95821225145,-187500.02235174447,-169331.00453984793,-159014.9368661567,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.0612636368438731,F
24.0,-21962.95821225145,-187500.02235174447,-169331.00453984793,-159014.9368661567,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.0612636368438731,F
144.0,-21918.791165207764,-187500.02235174447,-169149.19545044846,-158805.05398572137,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.061505035313434,F
144.0,-21918.791165207764,-187500.02235174447,-169149.19545044846,-158805.05398572137,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.061505035313434,F
144.0,-21918.791165207764,-187500.02235174447,-169149.19545044846,-158805.05398572137,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.061505035313434,F
144.0,-21918.791165207764,-187500.02235174447,-169149.19545044846,-158805.05398572137,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.061505035313434,F
144.0,-21918.791165207764,-187500.02235174447,-169149.19545044846,-158805.05398572137,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.061505035313434,F
9.0,-187500.02235174447,-187500.02235174447,-34265.49247091919,-18050.173586627672,-187500.02235174447,-187500.02235174447,-73100.39676432572,0.4087656417970584,F
9.0,-187500.02235174447,-187500.02235174447,-34265.49247091919,-18050.173586627672,-187500.02235174447,-187500.02235174447,-73100.39676432572,0.4087656417970584,F
9.0,-187500.02235174447,-187500.02235174447,-34265.49247091919,-18050.173586627672,-187500.02235174447,-187500.02235174447,-73100.39676432572,0.4087656417970584,F
9.0,-187500.02235174447,-187500.02235174447,-34265.49247091919,-18050.173586627672,-187500.02235174447,-187500.02235174447,-73100.39676432572,0.4087656417970584,F
129.0,-187500.02235174447,-187500.02235174447,-34125.81641981798,-17947.087341199796,-187500.02235174447,-187500.02235174447,-73151.0681690059,0.4086332116168838,F
129.0,-187500.02235174447,-187500.02235174447,-34125.81641981798,-17947.087341199796,-187500.02235174447,-187500.02235174447,-73151.0681690059,0.4086332116168838,F
129.0,-187500.02235174447,-187500.02235174447,-34125.81641981798,-17947.087341199796,-187500.02235174447,-187500.02235174447,-73151.0681690059,0.4086332116168838,F
129.0,-187500.02235174447,-187500.02235174447,-34125.81641981798,-17947.087341199796,-187500.02235174447,-187500.02235174447,-73151.0681690059,0.4086332116168838,F
192.0,-21825.58439082913,-187500.02235174447,-168702.5628927425,-158307.63826461296,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.0621752469339045,F
249.0,-187500.02235174447,-187500.02235174447,-33976.10443545633,-17852.42770343157,-187500.02235174447,-187500.02235174447,-73203.90769289824,0.4085125251437181,F
249.0,-187500.02235174447,-187500.02235174447,-33976.10443545633,-17852.42770343157,-187500.02235174447,-187500.02235174447,-73203.90769289824,0.4085125251437181,F
249.0,-187500.02235174447,-187500.02235174447,-33976.10443545633,-17852.42770343157,-187500.02235174447,-187500.02235174447,-73203.90769289824,0.4085125251437181,F
249.0,-187500.02235174447,-187500.02235174447,-33976.10443545633,-17852.42770343157,-187500.02235174447,-187500.02235174447,-73203.90769289824,0.4085125251437181,F
113.0,-187500.02235174447,-187500.02235174447,-33833.25443664246,-17761.32199303174,-187500.02235174447,-187500.02235174447,-73263.16216744926,0.4089289239760467,F
113.0,-187500.02235174447,-187500.02235174447,-33833.25443664246,-17761.32199303174,-187500.02235174447,-187500.02235174447,-73263.16216744926,0.4089289239760467,F
113.0,-187500.02235174447,-187500.02235174447,-33833.25443664246,-17761.32199303174,-187500.02235174447,-187500.02235174447,-73263.16216744926,0.4089289239760467,F
113.0,-187500.02235174447,-187500.02235174447,-33833.25443664246,-17761.32199303174,-187500.02235174447,-187500.02235174447,-73263.16216744926,0.4089289239760467,F
234.0,-21721.805241323145,-187500.02235174447,-168217.9323694625,-157776.82903728832,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.0629060128399753,F
234.0,-21721.805241323145,-187500.02235174447,-168217.9323694625,-157776.82903728832,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.0629060128399753,F
234.0,-21721.805241323145,-187500.02235174447,-168217.9323694625,-157776.82903728832,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.0629060128399753,F
