Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Weighted Output,State
205.0,-40399.0346669,-28659.652609783723,-27694.54898769248,-9930.544785326098,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.4895878234625608,F
69.0,-40152.60668428024,-27986.462770278788,-27485.850749713278,-9935.305706895078,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.4912416056404816,F
69.0,-40152.60668428024,-27986.462770278788,-27485.850749713278,-9935.305706895078,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.4912416056404816,F
69.0,-40152.60668428024,-27986.462770278788,-27485.850749713278,-9935.305706895078,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.4912416056404816,F
69.0,-40152.60668428024,-27986.462770278788,-27485.850749713278,-9935.305706895078,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.4912416056404816,F
190.0,-42570.752509922095,-9250.470608528924,-9769.254597336603,-9275.21398964095,-187500.02235174447,-155854.91429029874,-152921.38194100643,0.6387469806042857,F
190.0,-42570.752509922095,-9250.470608528924,-9769.254597336603,-9275.21398964095,-187500.02235174447,-155854.91429029874,-152921.38194100643,0.6387469806042857,F
190.0,-42570.752509922095,-9250.470608528924,-9769.254597336603,-9275.21398964095,-187500.02235174447,-155854.91429029874,-152921.38194100643,0.6387469806042857,F
190.0,-42570.752509922095,-9250.470608528924,-9769.254597336603,-9275.21398964095,-187500.02235174447,-155854.91429029874,-152921.38194100643,0.6387469806042857,F
190.0,-42570.752509922095,-9250.470608528924,-9769.254597336603,-9275.21398964095,-187500.02235174447,-155854.91429029874,-152921.38194100643,0.6387469806042857,F
54.0,-42292.27212575342,-9238.981811878895,-9758.346946042411,-9274.92341696303,-187500.02235174447,-155830.19326093118,-152889.8883330689,0.6393817676152016,F
54.0,-42292.27212575342,-9238.981811878895,-9758.346946042411,-9274.92341696303,-187500.02235174447,-155830.19326093118,-152889.8883330689,0.6393817676152016,F
54.0,-42292.27212575342,-9238.981811878895,-9758.346946042411,-9274.92341696303,-187500.02235174447,-155830.19326093118,-152889.8883330689,0.6393817676152016,F
54.0,-42292.27212575342,-9238.981811878895,-9758.346946042411,-9274.92341696303,-187500.02235174447,-155830.19326093118,-152889.8883330689,0.6393817676152016,F
174.0,-42040.47972446439,-9234.73498043239,-9751.239091305624,-9285.182867668018,-187500.02235174447,-155853.90846179824,-152873.1245247274,0.6390364983114332,F
174.0,-42040.47972446439,-9234.73498043239,-9751.239091305624,-9285.182867668018,-187500.02235174447,-155853.90846179824,-152873.1245247274,0.6390364983114332,F
174.0,-42040.47972446439,-9234.73498043239,-9751.239091305624,-9285.182867668018,-187500.02235174447,-155853.90846179824,-152873.1245247274,0.6390364983114332,F
174.0,-42040.47972446439,-9234.73498043239,-9751.239091305624,-9285.182867668018,-187500.02235174447,-155853.90846179824,-152873.1245247274,0.6390364983114332,F
38.0,-41633.4768096777,-9215.557183689736,-9723.299410736492,-9203.174317261495,-187500.02235174447,-155728.04578877045,-152841.69797202325,0.6398669462652963,F
38.0,-41633.4768096777,-9215.557183689736,-9723.299410736492,-9203.174317261495,-187500.02235174447,-155728.04578877045,-152841.69797202325,0.6398669462652963,F
38.0,-41633.4768096777,-9215.557183689736,-9723.299410736492,-9203.174317261495,-187500.02235174447,-155728.04578877045,-152841.69797202325,0.6398669462652963,F
38.0,-41633.4768096777,-9215.557183689736,-9723.299410736492,-9203.174317261495,-187500.02235174447,-155728.04578877045,-152841.69797202325,0.6398669462652963,F
38.0,-41633.4768096777,-9215.557183689736,-9723.299410736492,-9203.174317261495,-187500.02235174447,-155728.04578877045,-152841.69797202325,0.6398669462652963,F
159.0,-38683.448872977366,-28745.6844741922,-26427.36153928775,-9829.827824810483,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.4918335888131589,F
159.0,-38683.448872977366,-28745.6844741922,-26427.36153928775,-9829.827824810483,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.4918335888131589,F
159.0,-38683.448872977366,-28745.6844741922,-26427.36153928775,-9829.827824810483,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.4918335888131589,F
159.0,-38683.448872977366,-28745.6844741922,-26427.36153928775,-9829.827824810483,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.4918335888131589,F
23.0,-38508.27825168112,-26470.47805434204,-26222.597208332685,-9888.90348540586,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.4956974607167571,F
23.0,-38508.27825168112,-26470.47805434204,-26222.597208332685,-9888.90348540586,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.4956974607167571,F
23.0,-38508.27825168112,-26470.47805434204,-26222.597208332685,-9888.90348540586,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.4956974607167571,F
23.0,-38508.27825168112,-26470.47805434204,-26222.597208332685,-9888.90348540586,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.4956974607167571,F
103.0,-38295.35553399986,-27126.63586457204,-26072.19231989292,-9860.00267982515,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.4948421649560426,F
143.0,-38183.239183812046,-27772.981258986147,-25992.262481720743,-9840.04257202656,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.4939805462958635,F
143.0,-38183.239183812046,-27772.981258986147,-25992.262481720743,-9840.04257202656,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.4939805462958635,F
143.0,-38183.239183812046,-27772.981258986147,-25992.262481720743,-9840.04257202656,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.4939805462958635,F
143.0,-38183.239183812046,-27772.981258986147,-25992.262481720743,-9840.04257202656,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.4939805462958635,F
7.0,-37974.71975978849,-25421.62244577676,-25802.58557827301,-9895.787822698096,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.4979365806004626,F
7.0,-37974.71975978849,-25421.62244577676,-25802.58557827301,-9895.787822698096,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.4979365806004626,F
7.0,-37974.71975978849,-25421.62244577676,-25802.58557827301,-9895.787822698096,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.4979365806004626,F
7.0,-37974.71975978849,-25421.62244577676,-25802.58557827301,-9895.787822698096,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.4979365806004626,F
128.0,-39891.20303287543,-9208.44932895295,-9695.24797144508,-9114.19202258492,-187500.02235174447,-155386.15350558204,-152716.37174086235,0.6406164424601987,F
128.0,-39891.20303287543,-9208.44932895295,-9695.24797144508,-9114.19202258492,-187500.02235174447,-155386.15350558204,-152716.37174086235,0.6406164424601987,F
128.0,-39891.20303287543,-9208.44932895295,-9695.24797144508,-9114.19202258492,-187500.02235174447,-155386.15350558204,-152716.37174086235,0.6406164424601987,F
128.0,-39891.20303287543,-9208.44932895295,-9695.24797144508,-9114.19202258492,-187500.02235174447,-155386.15350558204,-152716.37174086235,0.6406164424601987,F
128.0,-39891.20303287543,-9208.44932895295,-9695.24797144508,-9114.19202258492,-187500.02235174447,-155386.15350558204,-152716.37174086235,0.6406164424601987,F
248.0,-39704.27539399569,-9214.171375533508,-9706.915582050751,-9190.34441594415,-187500.02235174447,-155447.6431545786,-152701.2396098661,0.6401631646813151,F
248.0,-39704.27539399569,-9214.171375533508,-9706.915582050751,-9190.34441594415,-187500.02235174447,-155447.6431545786,-152701.2396098661,0.6401631646813151,F
248.0,-39704.27539399569,-9214.171375533508,-9706.915582050751,-9190.34441594415,-187500.02235174447,-155447.6431545786,-152701.2396098661,0.6401631646813151,F
248.0,-39704.27539399569,-9214.171375533508,-9706.915582050751,-9190.34441594415,-187500.02235174447,-155447.6431545786,-152701.2396098661,0.6401631646813151,F
112.0,-39519.04648769456,-9238.35596303415,-9731.234280018123,-9267.21206512595,-187500.02235174447,-155505.73533841793,-152697.66333075325,0.6405247574482258,F
112.0,-39519.04648769456,-9238.35596303415,-9731.234280018123,-9267.21206512595,-187500.02235174447,-155505.73533841793,-152697.66333075325,0.6405247574482258,F
112.0,-39519.04648769456,-9238.35596303415,-9731.234280018123,-9267.21206512595,-187500.02235174447,-155505.73533841793,-152697.66333075325,0.6405247574482258,F
112.0,-39519.04648769456,-9238.35596303415,-9731.234280018123,-9267.21206512595,-187500.02235174447,-155505.73533841793,-152697.66333075325,0.6405247574482258,F
112.0,-39519.04648769456,-9238.35596303415,-9731.234280018123,-9267.21206512595,-187500.02235174447,-155505.73533841793,-152697.66333075325,0.6405247574482258,F
232.0,-39258.2686851345,-9240.345268290672,-9731.480149207133,-9282.254789144372,-187500.02235174447,-155499.946236604,-152676.20565607617,0.640207161843131,F
232.0,-39258.2686851345,-9240.345268290672,-9731.480149207133,-9282.254789144372,-187500.02235174447,-155499.946236604,-152676.20565607617,0.640207161843131,F
232.0,-39258.2686851345,-9240.345268290672,-9731.480149207133,-9282.254789144372,-187500.02235174447,-155499.946236604,-152676.20565607617,0.640207161843131,F
232.0,-39258.2686851345,-9240.345268290672,-9731.480149207133,-9282.254789144372,-187500.02235174447,-155499.946236604,-152676.20565607617,0.640207161843131,F
