Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Weighted Output,State
55.0,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-177669.36751238914,119391.5300836003,-182540.30436757856,0.2511392737550662,R
175.0,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-177889.3757330627,118900.17168523929,-182577.8552982635,0.2511107957789187,R
175.0,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-177889.3757330627,118900.17168523929,-182577.8552982635,0.2511107957789187,R
175.0,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-177889.3757330627,118900.17168523929,-182577.8552982635,0.2511107957789187,R
175.0,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-177889.3757330627,118900.17168523929,-182577.8552982635,0.2511107957789187,R
40.0,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.0,R
40.0,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.0,R
40.0,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.0,R
40.0,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.0,R
40.0,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.0,R
160.0,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.0,R
160.0,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.0,R
