Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Weighted Output,State
244.0,-164240.88647852975,-156091.52985710264,-175586.699019277,-165713.39705150094,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.0662095977913029,F
244.0,-164240.88647852975,-156091.52985710264,-175586.699019277,-165713.39705150094,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.0662095977913029,F
108.0,-163953.21952738997,-155862.91621481374,-175351.60337109608,-165438.93998133423,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.0669858578833352,F
108.0,-163953.21952738997,-155862.91621481374,-175351.60337109608,-165438.93998133423,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.0669858578833352,F
108.0,-163953.21952738997,-155862.91621481374,-175351.60337109608,-165438.93998133423,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.0669858578833352,F
108.0,-163953.21952738997,-155862.91621481374,-175351.60337109608,-165438.93998133423,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.0669858578833352,F
228.0,-163297.39699332678,-155155.9752411813,-174835.99333000105,-164903.34748069616,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.0688300009252635,F
228.0,-163297.39699332678,-155155.9752411813,-174835.99333000105,-164903.34748069616,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.0688300009252635,F
228.0,-163297.39699332678,-155155.9752411813,-174835.99333000105,-164903.34748069616,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.0688300009252635,F
228.0,-163297.39699332678,-155155.9752411813,-174835.99333000105,-164903.34748069616,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.0688300009252635,F
228.0,-163297.39699332678,-155155.9752411813,-174835.99333000105,-164903.34748069616,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.0688300009252635,F
93.0,-6225.452569181034,-34097.519111337555,-15765.490027128462,-6311.707951034064,4213.504995525479,-179369.55295438206,-179814.82205567625,0.4933870569003479,F
