Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Weighted Output,State
124.0,-168089.90157722254,-187500.02235174447,-187500.02235174447,-164107.4465641316,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.0039981532521687,R
124.0,-168089.90157722254,-187500.02235174447,-187500.02235174447,-164107.4465641316,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.0039981532521687,R
124.0,-168089.90157722254,-187500.02235174447,-187500.02235174447,-164107.4465641316,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.0039981532521687,R
124.0,-168089.90157722254,-187500.02235174447,-187500.02235174447,-164107.4465641316,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.0039981532521687,R
244.0,-167942.91650568444,-187500.02235174447,-187500.02235174447,-163987.82002780677,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.0040258548216754,R
244.0,-167942.91650568444,-187500.02235174447,-187500.02235174447,-163987.82002780677,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.0040258548216754,R
244.0,-167942.91650568444,-187500.02235174447,-187500.02235174447,-163987.82002780677,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.0040258548216754,R
244.0,-167942.91650568444,-187500.02235174447,-187500.02235174447,-163987.82002780677,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.0040258548216754,R
244.0,-167942.91650568444,-187500.02235174447,-187500.02235174447,-163987.82002780677,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.0040258548216754,R
108.0,-167574.82797799446,-187500.02235174447,-187500.02235174447,-163819.1090606581,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.0041045996410748,R
108.0,-167574.82797799446,-187500.02235174447,-187500.02235174447,-163819.1090606581,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.0041045996410748,R
108.0,-167574.82797799446,-187500.02235174447,-187500.02235174447,-163819.1090606581,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.0041045996410748,R
108.0,-167574.82797799446,-187500.02235174447,-187500.02235174447,-163819.1090606581,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.0041045996410748,R
228.0,-167437.43180482768,-187500.02235174447,-187500.02235174447,-163680.66235550193,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.0041302614736202,R
228.0,-167437.43180482768,-187500.02235174447,-187500.02235174447,-163680.66235550193,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.0041302614736202,R
