Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Weighted Output,State
63.0,-187500.02235174447,-187500.02235174447,-6350.555282897388,-6839.298527157132,4265.495153128523,-187500.02235174447,-187500.02235174447,0.2646818686050968,F
79.0,-187500.02235174447,-187500.02235174447,-6340.92168103715,-6804.876840695959,4262.276501926959,-187500.02235174447,-187500.02235174447,0.2647003873062288,F
183.0,-186900.3697514975,-187500.02235174447,-6336.54073912391,-6648.749905675639,4253.134638444739,-187500.02235174447,-187500.02235174447,0.2648402668536619,F
183.0,-186900.3697514975,-187500.02235174447,-6336.54073912391,-6648.749905675639,4253.134638444739,-187500.02235174447,-187500.02235174447,0.2648402668536619,F
183.0,-186900.3697514975,-187500.02235174447,-6336.54073912391,-6648.749905675639,4253.134638444739,-187500.02235174447,-187500.02235174447,0.2648402668536619,F
183.0,-186900.3697514975,-187500.02235174447,-6336.54073912391,-6648.749905675639,4253.134638444739,-187500.02235174447,-187500.02235174447,0.2648402668536619,F
47.0,-185547.93274974023,-187500.02235174447,-6305.24829688648,-6493.3829299668,4240.438847594124,-187500.02235174447,-187500.02235174447,0.2651761291103577,F
47.0,-185547.93274974023,-187500.02235174447,-6305.24829688648,-6493.3829299668,4240.438847594124,-187500.02235174447,-187500.02235174447,0.2651761291103577,F
47.0,-185547.93274974023,-187500.02235174447,-6305.24829688648,-6493.3829299668,4240.438847594124,-187500.02235174447,-187500.02235174447,0.2651761291103577,F
47.0,-185547.93274974023,-187500.02235174447,-6305.24829688648,-6493.3829299668,4240.438847594124,-187500.02235174447,-187500.02235174447,0.2651761291103577,F
167.0,-183884.9406105209,-186696.7677112541,-6286.986921666494,-6391.861306650795,4232.213405634571,-187500.02235174447,-187500.02235174447,0.2666423031212361,F
167.0,-183884.9406105209,-186696.7677112541,-6286.986921666494,-6391.861306650795,4232.213405634571,-187500.02235174447,-187500.02235174447,0.2666423031212361,F
167.0,-183884.9406105209,-186696.7677112541,-6286.986921666494,-6391.861306650795,4232.213405634571,-187500.02235174447,-187500.02235174447,0.2666423031212361,F
167.0,-183884.9406105209,-186696.7677112541,-6286.986921666494,-6391.861306650795,4232.213405634571,-187500.02235174447,-187500.02235174447,0.2666423031212361,F
167.0,-183884.9406105209,-186696.7677112541,-6286.986921666494,-6391.861306650795,4232.213405634571,-187500.02235174447,-187500.02235174447,0.2666423031212361,F
32.0,-7797.338998000503,-7945.531063739188,-8266.613872839675,-7950.71666845282,-137881.72011157515,-139082.50052720314,-158936.54929835192,0.5808593253359375,F
32.0,-7797.338998000503,-7945.531063739188,-8266.613872839675,-7950.71666845282,-137881.72011157515,-139082.50052720314,-158936.54929835192,0.5808593253359375,F
32.0,-7797.338998000503,-7945.531063739188,-8266.613872839675,-7950.71666845282,-137881.72011157515,-139082.50052720314,-158936.54929835192,0.5808593253359375,F
32.0,-7797.338998000503,-7945.531063739188,-8266.613872839675,-7950.71666845282,-137881.72011157515,-139082.50052720314,-158936.54929835192,0.5808593253359375,F
152.0,-7797.853088122975,-7889.785813067653,-8226.716008986952,-7932.902328121941,-137815.69305845417,-139051.49865764365,-158882.03339362543,0.5805466105057697,F
152.0,-7797.853088122975,-7889.785813067653,-8226.716008986952,-7932.902328121941,-137815.69305845417,-139051.49865764365,-158882.03339362543,0.5805466105057697,F
152.0,-7797.853088122975,-7889.785813067653,-8226.716008986952,-7932.902328121941,-137815.69305845417,-139051.49865764365,-158882.03339362543,0.5805466105057697,F
152.0,-7797.853088122975,-7889.785813067653,-8226.716008986952,-7932.902328121941,-137815.69305845417,-139051.49865764365,-158882.03339362543,0.5805466105057697,F
16.0,-7821.635344223421,-7873.5584465931,-8212.366189046645,-7944.167607327415,-137784.08769179438,-139046.38010816337,-158847.76816937546,0.5810447528093702,F
16.0,-7821.635344223421,-7873.5584465931,-8212.366189046645,-7944.167607327415,-137784.08769179438,-139046.38010816337,-158847.76816937546,0.5810447528093702,F
16.0,-7821.635344223421,-7873.5584465931,-8212.366189046645,-7944.167607327415,-137784.08769179438,-139046.38010816337,-158847.76816937546,0.5810447528093702,F
16.0,-7821.635344223421,-7873.5584465931,-8212.366189046645,-7944.167607327415,-137784.08769179438,-139046.38010816337,-158847.76816937546,0.5810447528093702,F
16.0,-7821.635344223421,-7873.5584465931,-8212.366189046645,-7944.167607327415,-137784.08769179438,-139046.38010816337,-158847.76816937546,0.5810447528093702,F
136.0,-7941.574804970599,-7862.494333087723,-8214.24373558089,-8009.144128458993,-137746.17913319817,-139143.67725177732,-158823.82945106382,0.5804040987910704,F
136.0,-7941.574804970599,-7862.494333087723,-8214.24373558089,-8009.144128458993,-137746.17913319817,-139143.67725177732,-158823.82945106382,0.5804040987910704,F
