Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Weighted Output,State
193.0,-145249.771505567,-145752.7975145337,-8918.256630689697,-9007.93182944439,-187500.02235174447,-127284.6463065918,-142515.4826063493,0.4829845465320478,F
193.0,-145249.771505567,-145752.7975145337,-8918.256630689697,-9007.93182944439,-187500.02235174447,-127284.6463065918,-142515.4826063493,0.4829845465320478,F
193.0,-145249.771505567,-145752.7975145337,-8918.256630689697,-9007.93182944439,-187500.02235174447,-127284.6463065918,-142515.4826063493,0.4829845465320478,F
193.0,-145249.771505567,-145752.7975145337,-8918.256630689697,-9007.93182944439,-187500.02235174447,-127284.6463065918,-142515.4826063493,0.4829845465320478,F
193.0,-145249.771505567,-145752.7975145337,-8918.256630689697,-9007.93182944439,-187500.02235174447,-127284.6463065918,-142515.4826063493,0.4829845465320478,F
58.0,-32602.88031135563,-35994.511663259465,-18269.66771717879,-21881.79902813423,-187500.02235174447,-187500.02235174447,-181396.07386542248,0.5050463179935333,F
58.0,-32602.88031135563,-35994.511663259465,-18269.66771717879,-21881.79902813423,-187500.02235174447,-187500.02235174447,-181396.07386542248,0.5050463179935333,F
58.0,-32602.88031135563,-35994.511663259465,-18269.66771717879,-21881.79902813423,-187500.02235174447,-187500.02235174447,-181396.07386542248,0.5050463179935333,F
58.0,-32602.88031135563,-35994.511663259465,-18269.66771717879,-21881.79902813423,-187500.02235174447,-187500.02235174447,-181396.07386542248,0.5050463179935333,F
178.0,-32630.529419246846,-36016.37166933676,-18315.220572378705,-21966.91447102004,-187500.02235174447,-187500.02235174447,-181450.41095619331,0.5045339899482056,F
178.0,-32630.529419246846,-36016.37166933676,-18315.220572378705,-21966.91447102004,-187500.02235174447,-187500.02235174447,-181450.41095619331,0.5045339899482056,F
178.0,-32630.529419246846,-36016.37166933676,-18315.220572378705,-21966.91447102004,-187500.02235174447,-187500.02235174447,-181450.41095619331,0.5045339899482056,F
178.0,-32630.529419246846,-36016.37166933676,-18315.220572378705,-21966.91447102004,-187500.02235174447,-187500.02235174447,-181450.41095619331,0.5045339899482056,F
42.0,-32545.749252527865,-35997.372686549745,-18335.6277150664,-21952.609354568645,-187500.02235174447,-187500.02235174447,-181496.41084628235,0.5048409928265177,F
42.0,-32545.749252527865,-35997.372686549745,-18335.6277150664,-21952.609354568645,-187500.02235174447,-187500.02235174447,-181496.41084628235,0.5048409928265177,F
42.0,-32545.749252527865,-35997.372686549745,-18335.6277150664,-21952.609354568645,-187500.02235174447,-187500.02235174447,-181496.41084628235,0.5048409928265177,F
42.0,-32545.749252527865,-35997.372686549745,-18335.6277150664,-21952.609354568645,-187500.02235174447,-187500.02235174447,-181496.41084628235,0.5048409928265177,F
42.0,-32545.749252527865,-35997.372686549745,-18335.6277150664,-21952.609354568645,-187500.02235174447,-187500.02235174447,-181496.41084628235,0.5048409928265177,F
162.0,-32479.073998817683,-35962.45926171056,-18343.070845970014,-21944.942706220478,-187500.02235174447,-187500.02235174447,-181527.25625363068,0.5045208882503233,F
162.0,-32479.073998817683,-35962.45926171056,-18343.070845970014,-21944.942706220478,-187500.02235174447,-187500.02235174447,-181527.25625363068,0.5045208882503233,F
162.0,-32479.073998817683,-35962.45926171056,-18343.070845970014,-21944.942706220478,-187500.02235174447,-187500.02235174447,-181527.25625363068,0.5045208882503233,F
162.0,-32479.073998817683,-35962.45926171056,-18343.070845970014,-21944.942706220478,-187500.02235174447,-187500.02235174447,-181527.25625363068,0.5045208882503233,F
27.0,-140020.75970420358,-140505.79255888375,-9054.401106166972,-9149.373668357572,-187500.02235174447,-128148.22830536704,-142841.03576434086,0.4899392639750695,F
27.0,-140020.75970420358,-140505.79255888375,-9054.401106166972,-9149.373668357572,-187500.02235174447,-128148.22830536704,-142841.03576434086,0.4899392639750695,F
27.0,-140020.75970420358,-140505.79255888375,-9054.401106166972,-9149.373668357572,-187500.02235174447,-128148.22830536704,-142841.03576434086,0.4899392639750695,F
27.0,-140020.75970420358,-140505.79255888375,-9054.401106166972,-9149.373668357572,-187500.02235174447,-128148.22830536704,-142841.03576434086,0.4899392639750695,F
147.0,-138899.30562964745,-139395.15672864398,-9053.574091622126,-9226.241317539372,-187500.02235174447,-128314.12295271432,-142823.69081064354,0.4912115998545245,F
147.0,-138899.30562964745,-139395.15672864398,-9053.574091622126,-9226.241317539372,-187500.02235174447,-128314.12295271432,-142823.69081064354,0.4912115998545245,F
147.0,-138899.30562964745,-139395.15672864398,-9053.574091622126,-9226.241317539372,-187500.02235174447,-128314.12295271432,-142823.69081064354,0.4912115998545245,F
147.0,-138899.30562964745,-139395.15672864398,-9053.574091622126,-9226.241317539372,-187500.02235174447,-128314.12295271432,-142823.69081064354,0.4912115998545245,F
147.0,-138899.30562964745,-139395.15672864398,-9053.574091622126,-9226.241317539372,-187500.02235174447,-128314.12295271432,-142823.69081064354,0.4912115998545245,F
11.0,-137282.0004560948,-137721.3686968528,-9063.542969649192,-9304.114795221663,-187500.02235174447,-128436.02936697355,-142785.0446444803,0.494115482690479,F
11.0,-137282.0004560948,-137721.3686968528,-9063.542969649192,-9304.114795221663,-187500.02235174447,-128436.02936697355,-142785.0446444803,0.494115482690479,F
11.0,-137282.0004560948,-137721.3686968528,-9063.542969649192,-9304.114795221663,-187500.02235174447,-128436.02936697355,-142785.0446444803,0.494115482690479,F
11.0,-137282.0004560948,-137721.3686968528,-9063.542969649192,-9304.114795221663,-187500.02235174447,-128436.02936697355,-142785.0446444803,0.494115482690479,F
131.0,-136409.3436490707,-136818.71584876964,-9082.519600691749,-9290.949617737488,-187500.02235174447,-128490.9252513558,-142822.97555482097,0.4950742088023266,F
131.0,-136409.3436490707,-136818.71584876964,-9082.519600691749,-9290.949617737488,-187500.02235174447,-128490.9252513558,-142822.97555482097,0.4950742088023266,F
131.0,-136409.3436490707,-136818.71584876964,-9082.519600691749,-9290.949617737488,-187500.02235174447,-128490.9252513558,-142822.97555482097,0.4950742088023266,F
131.0,-136409.3436490707,-136818.71584876964,-9082.519600691749,-9290.949617737488,-187500.02235174447,-128490.9252513558,-142822.97555482097,0.4950742088023266,F
