Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Weighted Output,State
54.0,-185507.6772579762,-185485.034940843,-185631.84119842545,-185552.26898816452,-185593.7091223847,-185617.80430290752,-185620.0618290975,0.0002694091877785,F
54.0,-185507.6772579762,-185485.034940843,-185631.84119842545,-185552.26898816452,-185593.7091223847,-185617.80430290752,-185620.0618290975,0.0002694091877785,F
54.0,-185507.6772579762,-185485.034940843,-185631.84119842545,-185552.26898816452,-185593.7091223847,-185617.80430290752,-185620.0618290975,0.0002694091877785,F
54.0,-185507.6772579762,-185485.034940843,-185631.84119842545,-185552.26898816452,-185593.7091223847,-185617.80430290752,-185620.0618290975,0.0002694091877785,F
54.0,-185507.6772579762,-185485.034940843,-185631.84119842545,-185552.26898816452,-185593.7091223847,-185617.80430290752,-185620.0618290975,0.0002694091877785,F
174.0,-185364.91666614017,-185343.99543333,-185490.10878683435,-185409.6201550508,-185450.032109026,-185473.4790889596,-185473.9708273376,0.0002790397814897,F
174.0,-185364.91666614017,-185343.99543333,-185490.10878683435,-185409.6201550508,-185450.032109026,-185473.4790889596,-185473.9708273376,0.0002790397814897,F
174.0,-185364.91666614017,-185343.99543333,-185490.10878683435,-185409.6201550508,-185450.032109026,-185473.4790889596,-185473.9708273376,0.0002790397814897,F
174.0,-185364.91666614017,-185343.99543333,-185490.10878683435,-185409.6201550508,-185450.032109026,-185473.4790889596,-185473.9708273376,0.0002790397814897,F
38.0,-184582.4938514821,-184564.14306928436,-184714.03386760165,-184630.3712881054,-184671.43144266983,-184694.1408150364,-184689.20107951175,0.0003052993785341,F
38.0,-184582.4938514821,-184564.14306928436,-184714.03386760165,-184630.3712881054,-184671.43144266983,-184694.1408150364,-184689.20107951175,0.0003052993785341,F
38.0,-184582.4938514821,-184564.14306928436,-184714.03386760165,-184630.3712881054,-184671.43144266983,-184694.1408150364,-184689.20107951175,0.0003052993785341,F
38.0,-184582.4938514821,-184564.14306928436,-184714.03386760165,-184630.3712881054,-184671.43144266983,-184694.1408150364,-184689.20107951175,0.0003052993785341,F
159.0,-186523.40758125877,187500.0,-186726.00379300164,-186691.805623985,-186710.7822550276,-186731.41291515983,-186805.73246547373,0.261007316661755,F
159.0,-186523.40758125877,187500.0,-186726.00379300164,-186691.805623985,-186710.7822550276,-186731.41291515983,-186805.73246547373,0.261007316661755,F
159.0,-186523.40758125877,187500.0,-186726.00379300164,-186691.805623985,-186710.7822550276,-186731.41291515983,-186805.73246547373,0.261007316661755,F
159.0,-186523.40758125877,187500.0,-186726.00379300164,-186691.805623985,-186710.7822550276,-186731.41291515983,-186805.73246547373,0.261007316661755,F
159.0,-186523.40758125877,187500.0,-186726.00379300164,-186691.805623985,-186710.7822550276,-186731.41291515983,-186805.73246547373,0.261007316661755,F
23.0,-186600.09641648488,187500.0,-186804.61487825096,-186769.9473226008,-186789.6392094659,-186810.31457308703,-186884.54471642317,0.2610075985786727,F
23.0,-186600.09641648488,187500.0,-186804.61487825096,-186769.9473226008,-186789.6392094659,-186810.31457308703,-186884.54471642317,0.2610075985786727,F
23.0,-186600.09641648488,187500.0,-186804.61487825096,-186769.9473226008,-186789.6392094659,-186810.31457308703,-186884.54471642317,0.2610075985786727,F
23.0,-186600.09641648488,187500.0,-186804.61487825096,-186769.9473226008,-186789.6392094659,-186810.31457308703,-186884.54471642317,0.2610075985786727,F
143.0,-186693.8619844749,187500.0,-186899.2074607858,-186864.606960369,-186884.4553094453,-186905.108321322,-186979.31611291363,0.2610077865369685,F
143.0,-186693.8619844749,187500.0,-186899.2074607858,-186864.606960369,-186884.4553094453,-186905.108321322,-186979.31611291363,0.2610077865369685,F
143.0,-186693.8619844749,187500.0,-186899.2074607858,-186864.606960369,-186884.4553094453,-186905.108321322,-186979.31611291363,0.2610077865369685,F
143.0,-186693.8619844749,187500.0,-186899.2074607858,-186864.606960369,-186884.4553094453,-186905.108321322,-186979.31611291363,0.2610077865369685,F
143.0,-186693.8619844749,187500.0,-186899.2074607858,-186864.606960369,-186884.4553094453,-186905.108321322,-186979.31611291363,0.2610077865369685,F
7.0,-186798.4010932924,187500.0,-187003.7912730922,-186969.6378075645,-186988.90501128492,-187009.51331967275,-187083.654056031,0.2610074992633908,F
7.0,-186798.4010932924,187500.0,-187003.7912730922,-186969.6378075645,-186988.90501128492,-187009.51331967275,-187083.654056031,0.2610074992633908,F
7.0,-186798.4010932924,187500.0,-187003.7912730922,-186969.6378075645,-186988.90501128492,-187009.51331967275,-187083.654056031,0.2610074992633908,F
7.0,-186798.4010932924,187500.0,-187003.7912730922,-186969.6378075645,-186988.90501128492,-187009.51331967275,-187083.654056031,0.2610074992633908,F
128.0,-185266.8819149592,-185248.19585659457,-185403.29461136996,-185320.7496190965,-185356.266541036,-185378.68534072465,-185376.76309070148,0.0003213158955019,F
128.0,-185266.8819149592,-185248.19585659457,-185403.29461136996,-185320.7496190965,-185356.266541036,-185378.68534072465,-185376.76309070148,0.0003213158955019,F
