Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Weighted Output,State
201.0,-187500.02235174447,-187500.02235174447,-171569.06236041337,-167505.0905352939,-163681.3776113245,-166231.91281937514,-56225.70141860264,0.2577951836545895,F
201.0,-187500.02235174447,-187500.02235174447,-171569.06236041337,-167505.0905352939,-163681.3776113245,-166231.91281937514,-56225.70141860264,0.2577951836545895,F
201.0,-187500.02235174447,-187500.02235174447,-171569.06236041337,-167505.0905352939,-163681.3776113245,-166231.91281937514,-56225.70141860264,0.2577951836545895,F
201.0,-187500.02235174447,-187500.02235174447,-171569.06236041337,-167505.0905352939,-163681.3776113245,-166231.91281937514,-56225.70141860264,0.2577951836545895,F
65.0,-187500.02235174447,-187500.02235174447,-171141.9428756169,-167049.9866664394,-163899.21771278593,-166362.13408257178,-56348.79247531801,0.2582557142227362,F
65.0,-187500.02235174447,-187500.02235174447,-171141.9428756169,-167049.9866664394,-163899.21771278593,-166362.13408257178,-56348.79247531801,0.2582557142227362,F
65.0,-187500.02235174447,-187500.02235174447,-171141.9428756169,-167049.9866664394,-163899.21771278593,-166362.13408257178,-56348.79247531801,0.2582557142227362,F
65.0,-187500.02235174447,-187500.02235174447,-171141.9428756169,-167049.9866664394,-163899.21771278593,-166362.13408257178,-56348.79247531801,0.2582557142227362,F
65.0,-187500.02235174447,-187500.02235174447,-171141.9428756169,-167049.9866664394,-163899.21771278593,-166362.13408257178,-56348.79247531801,0.2582557142227362,F
186.0,-6757.804066873082,-6644.704239929229,-6638.222234037189,-6518.14866282328,-131732.21877005324,-83865.2427631906,-149830.76153168222,0.661634262775282,F
186.0,-6757.804066873082,-6644.704239929229,-6638.222234037189,-6518.14866282328,-131732.21877005324,-83865.2427631906,-149830.76153168222,0.661634262775282,F
186.0,-6757.804066873082,-6644.704239929229,-6638.222234037189,-6518.14866282328,-131732.21877005324,-83865.2427631906,-149830.76153168222,0.661634262775282,F
186.0,-6757.804066873082,-6644.704239929229,-6638.222234037189,-6518.14866282328,-131732.21877005324,-83865.2427631906,-149830.76153168222,0.661634262775282,F
50.0,-6670.520504775108,-6502.033055071003,-6535.068933375947,-6422.684362254663,-131727.7931246511,-83922.97731911867,-149752.44101911082,0.6625179098552357,F
50.0,-6670.520504775108,-6502.033055071003,-6535.068933375947,-6422.684362254663,-131727.7931246511,-83922.97731911867,-149752.44101911082,0.6625179098552357,F
50.0,-6670.520504775108,-6502.033055071003,-6535.068933375947,-6422.684362254663,-131727.7931246511,-83922.97731911867,-149752.44101911082,0.6625179098552357,F
50.0,-6670.520504775108,-6502.033055071003,-6535.068933375947,-6422.684362254663,-131727.7931246511,-83922.97731911867,-149752.44101911082,0.6625179098552357,F
170.0,-6639.764504404606,-6648.325222530988,-6613.0765215249685,-6424.98659193356,-131962.37468270955,-84113.7047545558,-149755.41380112336,0.661285040511477,F
170.0,-6639.764504404606,-6648.325222530988,-6613.0765215249685,-6424.98659193356,-131962.37468270955,-84113.7047545558,-149755.41380112336,0.661285040511477,F
170.0,-6639.764504404606,-6648.325222530988,-6613.0765215249685,-6424.98659193356,-131962.37468270955,-84113.7047545558,-149755.41380112336,0.661285040511477,F
170.0,-6639.764504404606,-6648.325222530988,-6613.0765215249685,-6424.98659193356,-131962.37468270955,-84113.7047545558,-149755.41380112336,0.661285040511477,F
170.0,-6639.764504404606,-6648.325222530988,-6613.0765215249685,-6424.98659193356,-131962.37468270955,-84113.7047545558,-149755.41380112336,0.661285040511477,F
34.0,-6621.54783267353,-6680.936417691281,-6646.134751574368,-6428.920498957694,-132105.62701292362,-84290.1941287749,-149711.1796988463,0.6614325983602551,F
34.0,-6621.54783267353,-6680.936417691281,-6646.134751574368,-6428.920498957694,-132105.62701292362,-84290.1941287749,-149711.1796988463,0.6614325983602551,F
34.0,-6621.54783267353,-6680.936417691281,-6646.134751574368,-6428.920498957694,-132105.62701292362,-84290.1941287749,-149711.1796988463,0.6614325983602551,F
34.0,-6621.54783267353,-6680.936417691281,-6646.134751574368,-6428.920498957694,-132105.62701292362,-84290.1941287749,-149711.1796988463,0.6614325983602551,F
155.0,-187500.02235174447,-187500.02235174447,-168575.2473563251,-164766.42069416295,-164494.0199844861,-166955.88582228255,-56717.08216870811,0.2606063640048073,F
155.0,-187500.02235174447,-187500.02235174447,-168575.2473563251,-164766.42069416295,-164494.0199844861,-166955.88582228255,-56717.08216870811,0.2606063640048073,F
155.0,-187500.02235174447,-187500.02235174447,-168575.2473563251,-164766.42069416295,-164494.0199844861,-166955.88582228255,-56717.08216870811,0.2606063640048073,F
155.0,-187500.02235174447,-187500.02235174447,-168575.2473563251,-164766.42069416295,-164494.0199844861,-166955.88582228255,-56717.08216870811,0.2606063640048073,F
155.0,-187500.02235174447,-187500.02235174447,-168575.2473563251,-164766.42069416295,-164494.0199844861,-166955.88582228255,-56717.08216870811,0.2606063640048073,F
19.0,-187500.02235174447,-187500.02235174447,-168098.5740540712,-164320.99513065757,-164628.73394831826,-167069.87971900462,-56792.541657989226,0.2612392640289519,F
